event_id,query_id,sku,position,timestamp
E001,Q001,SKU001,1,2026-04-01T10:05:00
E002,Q001,SKU013,3,2026-04-01T10:06:00
E003,Q002,SKU001,1,2026-04-01T10:15:00
E004,Q002,SKU019,2,2026-04-01T10:16:00
E005,Q003,SKU003,1,2026-04-01T11:00:00
E006,Q003,SKU006,2,2026-04-01T11:01:00
E007,Q004,SKU003,1,2026-04-01T11:10:00
E008,Q005,SKU013,1,2026-04-01T12:00:00
E009,Q006,SKU008,1,2026-04-01T12:30:00
E010,Q007,SKU001,1,2026-04-01T13:00:00
E011,Q007,SKU002,3,2026-04-01T13:05:00
E012,Q008,SKU011,1,2026-04-01T14:00:00
E013,Q008,SKU007,2,2026-04-01T14:10:00
E014,Q009,SKU004,1,2026-04-01T14:30:00
E015,Q010,SKU011,1,2026-04-01T15:00:00
E016,Q011,SKU002,1,2026-04-01T15:30:00
E017,Q012,SKU020,1,2026-04-01T16:00:00
E018,Q013,SKU018,1,2026-04-01T16:30:00
E019,Q014,SKU013,1,2026-04-01T17:00:00
E020,Q017,SKU009,1,2026-04-01T17:30:00
